# rmax energy abs_error converged
4 -0.48326525546610355 0.016734744533896451 1
6 -0.49927727330476035 0.0007227266952396505 1
8 -0.49997510243207222 2.4897567927784081e-05 1
10 -0.49999926824122665 7.3175877335351913e-07 1
12 -0.49999998565763237 1.4342367626873909e-08 1
