# r f_numeric f_exact abs_error
0.001 0.0009990000000000001 0.0009990004998333751 4.9983337499330538e-10
0.0021321284231510451 0.0021275843734376489 0.0021275872943934053 2.9209557563490696e-09
0.0032152958832399022 0.0032049686828193513 0.0032049743578942014 5.6750748501574466e-09
0.0042545361124132278 0.0042364649757235286 0.0042364734861752816 8.5104517530409929e-09
0.0052648906916111298 0.0052372330753507872 0.0052372444586743748 1.1383323587563221e-08
0.0062573194159061696 0.0062182733248948704 0.0062182876142131104 1.4289318239942006e-08
0.0072386870365241211 0.0071864604084212651 0.0071864776382333804 1.7229812115243659e-08
0.0082131299770758226 0.0081459305211435216 0.0081459507266470072 2.0205503485637433e-08
0.0091831259907153417 0.0090991589950583651 0.0090991822108201538 2.3215761788680789e-08
0.010150173345524391 0.01004764216892281 0.01004766842797576 2.6259052949423323e-08
0.011115195804973674 0.010992302984606076 0.010992332318002831 2.9333396754996355e-08
0.012078778529769374 0.011933726793475111 0.011933759230150597 3.2436675486205435e-08
0.013041304519282551 0.012872297527631943 0.012872333094441015 3.5566809072559713e-08
0.014003033694120825 0.013808276525892824 0.013808315247734329 3.8721841505787169e-08
0.014964149138806766 0.01474184858265995 0.014741890482635205 4.1899975255013655e-08
0.015924784536077777 0.015673149250621261 0.015673194350198875 4.5099577614116093e-08
0.016885040763776595 0.016602281353974534 0.016602329673147839 4.8319173304861573e-08
0.017844996178370317 0.017529325221367326 0.01752937677879848 5.1557431154231059e-08
0.018804713163607038 0.018454345205400569 0.018454400018549661 5.4813149092530766e-08
0.019764242426023277 0.019377393962273337 0.019377452047512771 5.8085239434263469e-08
0.020723625899506569 0.020298515348448811 0.020298576721164207 6.1372715395857647e-08
0.021682898768732393 0.021217746440820265 0.021217811115499339 6.4674679074033792e-08
0.022642090918800758 0.022135118985671796 0.022135186975982796 6.7990310999299641e-08
0.023601228000637603 0.023050660464790013 0.023050731783651055 7.1318861042529713e-08
0.024560332231910172 0.02396439489777475 0.023964469557415321 7.4659640570545749e-08
0.025519423011076261 0.024876343457772579 0.024876421469788305 7.8012015725797967e-08
0.026478517396330538 0.025786524952173623 0.025786606327575148 8.13754015248358e-08
0.027437630484610509 0.026694956203324901 0.026695040952581742 8.4749256841487597e-08
0.028396775715510809 0.027601652354044017 0.027601740487123994 8.8133079976376871e-08
0.029355965117554561 0.02850662711536853 0.028506718641773336 9.1526404805836181e-08
