# phi u x y
12.4392 1.12708 0.880075 -0.112563
12.523 1.08592 0.920012 -0.0398968
12.6066 1.0444 0.956712 0.0384847
12.6898 1.00282 0.989605 0.122746
12.7726 0.961462 1.01804 0.213003
12.8551 0.920612 1.04127 0.309298
12.9372 0.880539 1.05846 0.411576
13.019 0.841504 1.06871 0.519651
13.1003 0.803752 1.071 0.633172
13.1812 0.767514 1.06428 0.75158
13.2618 0.733006 1.04746 0.874069
13.3419 0.700424 1.01944 0.999542
13.4216 0.669946 0.979206 1.12658
13.501 0.641732 0.925848 1.25341
13.5799 0.615923 0.858683 1.37792
13.6584 0.592638 0.777328 1.49766
13.7366 0.57198 0.681799 1.60989
13.8144 0.554031 0.572597 1.71172
13.8918 0.538857 0.450773 1.8002
13.969 0.526508 0.317957 1.8725
14.0459 0.517021 0.176344 1.9261
14.1226 0.510418 0.0286263 1.95897
14.1991 0.506713 -0.122125 1.96972
14.2755 0.50591 -0.272622 1.95774
14.3519 0.508007 -0.419542 1.92325
14.4284 0.512993 -0.559719 1.86726
14.505 0.520853 -0.690317 1.79153
14.5817 0.531561 -0.808969 1.69843
14.6586 0.545084 -0.913875 1.59076
14.7358 0.561377 -1.00384 1.47155
14.8133 0.580381 -1.07827 1.34391
14.8912 0.602024 -1.1371 1.21084
14.9694 0.626214 -1.18077 1.07511
15.0479 0.652846 -1.21006 0.939163
15.1269 0.681794 -1.22601 0.805086
15.2063 0.712914 -1.22984 0.674569
15.286 0.746043 -1.22285 0.548929
15.3662 0.781 -1.20635 0.429142
15.4467 0.817586 -1.18162 0.31588
15.5277 0.855585 -1.14985 0.20956
15.609 0.894767 -1.11214 0.110393
15.6907 0.934884 -1.06949 0.0184235
15.7728 0.975679 -1.02277 -0.0664283
15.8553 1.01688 -0.972749 -0.144333
15.9381 1.05821 -0.920082 -0.215523
16.0212 1.09939 -0.865336 -0.280274
16.1047 1.14013 -0.808984 -0.338882
16.1884 1.18013 -0.751427 -0.39165
16.2725 1.2191 -0.692994 -0.438883
16.3569 1.25675 -0.633957 -0.480872
16.4416 1.29281 -0.574539 -0.517897
16.5265 1.327 -0.514921 -0.550218
16.6117 1.35905 -0.455247 -0.578071
16.6971 1.3887 -0.395634 -0.601674
16.7827 1.41573 -0.336174 -0.62122
16.8686 1.43992 -0.276939 -0.636878
16.9546 1.46106 -0.217987 -0.648796
17.0408 1.47897 -0.159364 -0.657096
17.1272 1.49352 -0.101108 -0.661883
17.2136 1.50456 -0.0432486 -0.663237
17.3002 1.51201 0.0141854 -0.661219
17.3868 1.5158 0.0711684 -0.655868
17.4735 1.51589 0.127674 -0.647205
17.5602 1.51228 0.183672 -0.635233
17.6469 1.50499 0.239131 -0.619933
17.7336 1.49409 0.294011 -0.60127
17.8201 1.47966 0.348264 -0.579189
17.9066 1.46182 0.401833 -0.553618
17.993 1.44073 0.454647 -0.524465
18.0792 1.41654 0.506621 -0.491623
18.1652 1.38947 0.55765 -0.454963
18.2511 1.35973 0.60761 -0.414344
18.3367 1.32756 0.656349 -0.369605
18.4221 1.29322 0.703684 -0.32057
18.5072 1.25697 0.749401 -0.267055
18.5921 1.2191 0.793241 -0.20886
18.6767 1.17989 0.834901 -0.145786
18.761 1.13965 0.874025 -0.0776296
18.8449 1.09865 0.910197 -0.00419991
18.9286 1.05721 0.942934 0.0746768
19.0119 1.01562 0.971679 0.159142
19.0949 0.974159 0.995798 0.249286
19.1775 0.933123 1.01457 0.345132
19.2597 0.892783 1.02721 0.446606
19.3415 0.853401 1.03281 0.553509
19.423 0.815228 1.03044 0.665481
19.5041 0.778501 1.01908 0.781967
19.5847 0.743438 0.997689 0.902173
19.665 0.710242 0.965246 1.02503
19.7448 0.679099 0.920781 1.14915
19.8243 0.650172 0.863456 1.27281
19.9033 0.623608 0.792641 1.39397
19.982 0.599534 0.708003 1.51024
20.0602 0.578057 0.609595 1.61897
20.1381 0.559266 0.497944 1.71732
20.2157 0.543231 0.374117 1.80242
20.2929 0.530008 0.239745 1.87147
20.3699 0.519637 0.0970227 1.92197
20.4467 0.512143 -0.0513654 1.9519
20.5232 0.507545 -0.202353 1.95985
20.5997 0.505848 -0.352651 1.94517
20.6761 0.507053 -0.49893 1.90803
20.7526 0.51115 -0.638015 1.84941
20.8291 0.518127 -0.767055 1.77105
20.9057 0.527961 -0.883675 1.67531
20.9826 0.540622 -0.98607 1.56497
21.0597 0.556067 -1.07305 1.44312
21.1371 0.574243 -1.14404 1.3129
21.2149 0.595082 -1.19903 1.17737
21.293 0.618498 -1.23849 1.03935
21.3714 0.644391 -1.26326 0.901347
21.4503 0.67264 -1.27446 0.765493
21.5295 0.703107 -1.27337 0.633517
21.6091 0.735636 -1.26138 0.506766
21.6892 0.77005 -1.23985 0.386228
21.7696 0.806157 -1.21013 0.27258
21.8504 0.843745 -1.17348 0.166234
21.9316 0.882588 -1.13103 0.0673834
22.0132 0.922444 -1.08381 -0.0239455
22.0952 0.963058 -1.03274 -0.107857
22.1775 1.00416 -0.978604 -0.184547
22.2602 1.04549 -0.922073 -0.254278
22.3433 1.08674 -0.863724 -0.317351
22.4266 1.12765 -0.804039 -0.374088
22.5103 1.1679 -0.743418 -0.424819
22.5943 1.20722 -0.68219 -0.469871
22.6786 1.24531 -0.620626 -0.509558
22.7632 1.28189 -0.558944 -0.544178
22.848 1.31669 -0.497319 -0.57401
22.9331 1.34942 -0.43589 -0.599307
23.0185 1.37984 -0.374767 -0.6203
23.104 1.4077 -0.314035 -0.637196
23.1898 1.43278 -0.253762 -0.650175
23.2758 1.45488 -0.193998 -0.659396
23.362 1.47381 -0.134786 -0.664993
23.4483 1.4894 -0.0761566 -0.667077
23.5347 1.50154 -0.0181378 -0.665737
23.6212 1.5101 0.0392467 -0.661042
23.7079 1.51503 0.0959734 -0.65304
23.7945 1.51626 0.152018 -0.64176
23.8812 1.51378 0.207353 -0.627209
23.9679 1.50763 0.261946 -0.60938
24.0546 1.49783 0.315758 -0.588244
24.1412 1.48447 0.368741 -0.563756
24.2277 1.46767 0.420836 -0.535851
24.3141 1.44756 0.471973 -0.50445
24.4004 1.42431 0.522064 -0.469454
24.4864 1.3981 0.571003 -0.430749
24.5724 1.36916 0.618663 -0.388204
24.6581 1.33771 0.664891 -0.341674
24.7435 1.30401 0.709506 -0.291
24.8287 1.26832 0.75229 -0.236012
24.9137 1.23092 0.792988 -0.176532
24.9984 1.19209 0.831298 -0.112379
25.0828 1.15213 0.86687 -0.0433716
25.1668 1.11134 0.899293 0.0306588
25.2506 1.07 0.928097 0.109863
25.334 1.02843 0.952738 0.194359
25.417 0.986895 0.972602 0.284216
25.4998 0.9457 0.986996 0.379435
25.5821 0.905117 0.995148 0.479925
25.6641 0.865413 0.996214 0.585474
25.7456 0.826842 0.989281 0.695717
25.8268 0.789645 0.97339 0.810099
25.9076 0.754047 0.947555 0.927839
25.988 0.720256 0.910807 1.04789
26.068 0.688462 0.862237 1.16891
26.1476 0.658836 0.801067 1.28922
26.2267 0.63153 0.726719 1.40684
26.3055 0.606677 0.638908 1.51946
26.3839 0.58439 0.537725 1.6245
26.4619 0.564763 0.423723 1.71921
26.5395 0.547872 0.297978 1.80076
26.6169 0.533779 0.16213 1.86641
26.6939 0.522525 0.0183666 1.9137
26.7708 0.514143 -0.130633 1.94059
26.8474 0.508652 -0.281806 1.94568
26.9239 0.506062 -0.431863 1.92828
27.0003 0.506373 -0.577469 1.88851
27.0767 0.509581 -0.715434 1.82734
27.1532 0.515673 -0.842895 1.74645
27.2298 0.52463 -0.957463 1.64818
27.3066 0.536424 -1.05733 1.53535
27.3836 0.551016 -1.1413 1.41104
27.461 0.568358 -1.20884 1.27843
27.5386 0.588385 -1.25995 1.14064
27.6166 0.611017 -1.29516 1.00054
27.6949 0.636159 -1.31536 0.860693
27.7736 0.663696 -1.32176 0.723276
27.8528 0.693496 -1.31572 0.590058
27.9323 0.725407 -1.29867 0.46241
28.0122 0.759261 -1.27207 0.341335
28.0925 0.794868 -1.23733 0.227514
28.1732 0.832023 -1.19575 0.121349
28.2543 0.870505 -1.14853 0.0230198
28.3358 0.910075 -1.09674 -0.0674689
28.4176 0.950484 -1.04131 -0.150246
28.4999 0.991468 -0.983066 -0.225536
28.5824 1.03275 -0.92269 -0.293629
28.6654 1.07406 -0.86077 -0.354854
28.7486 1.1151 -0.797791 -0.40956
28.8322 1.15559 -0.734158 -0.458104
28.9161 1.19523 -0.670197 -0.500835
29.0003 1.23373 -0.606176 -0.538092
29.0848 1.27081 -0.542308 -0.570191
29.1696 1.30618 -0.47876 -0.597429
29.2546 1.33957 -0.415666 -0.620076
29.3399 1.37073 -0.353128 -0.638377
29.4254 1.39941 -0.291225 -0.652552
29.5111 1.42537 -0.230017 -0.662795
29.597 1.4484 -0.169548 -0.669273
29.6831 1.46833 -0.109854 -0.67213
29.7694 1.48496 -0.0509607 -0.671486
29.8558 1.49818 0.00710869 -0.66744
29.9423 1.50785 0.0643347 -0.660068
30.0289 1.5139 0.120698 -0.649424
30.1155 1.51627 0.176176 -0.635546
30.2022 1.51494 0.230743 -0.618449
30.2889 1.50991 0.28437 -0.598132
30.3756 1.50123 0.337018 -0.574574
30.4622 1.48896 0.388639 -0.54774
30.5488 1.47321 0.439175 -0.517574
30.6352 1.4541 0.488554 -0.484006
30.7215 1.43179 0.536688 -0.446948
30.8077 1.40648 0.583471 -0.406298
30.8936 1.37835 0.628774 -0.361937
30.9794 1.34765 0.672444 -0.313735
31.0649 1.31462 0.714299 -0.261547
31.1502 1.27951 0.754124 -0.205222
31.2353 1.24261 0.791663 -0.144598
31.32 1.20419 0.82662 -0.0795139
31.4045 1.16454 0.858649 -0.00981037
31.4887 1.12397 0.887347 0.0646611
31.5725 1.08277 0.912254 0.144028
31.656 1.04124 0.932843 0.228388
31.7392 0.999664 0.948517 0.317786
31.822 0.958336 0.958607 0.412206
31.9045 0.917535 0.962372 0.511538
31.9866 0.877532 0.959001 0.615559
32.0683 0.838586 0.947623 0.723898
32.1496 0.800941 0.927325 0.836002
32.2305 0.764828 0.897174 0.951101
32.311 0.730459 0.856254 1.06817
32.3911 0.698031 0.803715 1.18591
32.4708 0.66772 0.738832 1.3027
32.5501 0.639684 0.661083 1.41661
32.629 0.614063 0.570224 1.5254
32.7075 0.590974 0.466384 1.62658
32.7856 0.570519 0.350139 1.71746
32.8634 0.552779 0.222579 1.7953
32.9408 0.537818 0.085344 1.8574
33.0179 0.525686 -0.0593807 1.90135
33.0948 0.516417 -0.208922 1.92511
33.1715 0.510035 -0.360223 1.92728
33.248 0.50655 -0.509994 1.90713
33.3245 0.505968 -0.65489 1.86476
33.4009 0.508285 -0.791711 1.80107
33.4773 0.51349 -0.917576 1.71774
33.5539 0.521567 -1.03008 1.61709
33.6306 0.532491 -1.1274 1.5019
33.7076 0.546226 -1.20837 1.37531
33.7848 0.562728 -1.27243 1.24051
33.8624 0.581935 -1.31965 1.10066
33.9402 0.603774 -1.35058 0.958687
34.0185 0.628155 -1.36621 0.817211
34.0971 0.654967 -1.36778 0.678448
34.1761 0.684085 -1.35673 0.544205
34.2554 0.715364 -1.33459 0.415878
34.3352 0.748638 -1.30289 0.294484
34.4154 0.783726 -1.26309 0.180704
34.496 0.820428 -1.21657 0.0749313
34.577 0.858525 -1.16457 -0.0226688
34.6583 0.897787 -1.10819 -0.112115
34.7401 0.937965 -1.04842 -0.193563
34.8222 0.9788 -0.986082 -0.267265
34.9047 1.02002 -0.921888 -0.333539
34.9875 1.06135 -0.856433 -0.392745
35.0706 1.10251 -0.79021 -0.445261
35.1541 1.1432 -0.723623 -0.491468
35.2379 1.18313 -0.656996 -0.531741
35.322 1.22201 -0.590594 -0.566439
35.4064 1.25955 -0.524621 -0.595902
35.4911 1.29548 -0.459241 -0.620442
35.5761 1.32951 -0.394577 -0.640348
35.6613 1.36139 -0.330724 -0.655879
35.7467 1.39085 -0.267753 -0.667266
35.8324 1.41767 -0.205716 -0.674717
35.9182 1.44163 -0.14465 -0.678408
36.0043 1.46253 -0.0845837 -0.678494
36.0905 1.4802 -0.0255372 -0.675103
36.1769 1.49448 0.0324728 -0.668341
36.2633 1.50525 0.0894313 -0.658293
36.3499 1.51243 0.145323 -0.645021
36.4366 1.51594 0.200129 -0.628568
36.5232 1.51575 0.253827 -0.608958
36.6099 1.51185 0.30639 -0.586198
36.6966 1.50429 0.357779 -0.560274
36.7833 1.49312 0.407949 -0.531159
36.8698 1.47842 0.456842 -0.498806
36.9563 1.46033 0.504386 -0.463155
