# t x1 y1 x2 y2 x3 y3
1.96989 0.130782 0.11812 0.892954 -0.299067 -1.02374 0.180946
2.00026 0.101731 0.0928349 0.912022 -0.287662 -1.01375 0.194827
2.03125 0.0724114 0.0666045 0.930168 -0.275465 -1.00258 0.20886
2.06287 0.0427289 0.0395135 0.94737 -0.262524 -0.990099 0.223011
2.09506 0.0126581 0.0117364 0.963564 -0.248928 -0.976222 0.237191
2.12764 -0.0177187 -0.0164245 0.978645 -0.23482 -0.960926 0.251245
2.16027 -0.0482143 -0.0445511 0.992496 -0.220404 -0.944281 0.264955
2.19261 -0.0786122 -0.0722026 1.00504 -0.205894 -0.926425 0.278097
2.2244 -0.108765 -0.0990282 1.01627 -0.191462 -0.907503 0.29049
2.25552 -0.138634 -0.124812 1.02626 -0.177207 -0.887622 0.302019
2.28598 -0.168263 -0.149446 1.0351 -0.163171 -0.866841 0.312617
2.31582 -0.197745 -0.172885 1.04293 -0.149352 -0.845182 0.322237
2.34514 -0.227184 -0.195111 1.04983 -0.135729 -0.822642 0.33084
2.37404 -0.256679 -0.21611 1.05589 -0.122272 -0.799213 0.338382
2.40259 -0.286304 -0.235851 1.0612 -0.108955 -0.774893 0.344807
2.43085 -0.316083 -0.254283 1.06579 -0.0957622 -0.749708 0.350045
2.45881 -0.345969 -0.271319 1.06971 -0.0827017 -0.723746 0.35402
2.4864 -0.375831 -0.286853 1.073 -0.0698093 -0.697164 0.356662
2.51352 -0.405478 -0.300788 1.07566 -0.0571371 -0.670183 0.357925
2.54007 -0.434724 -0.313072 1.07774 -0.0447281 -0.643019 0.3578
2.56604 -0.463449 -0.323716 1.07928 -0.0325935 -0.615832 0.35631
2.59148 -0.491621 -0.332781 1.08032 -0.0207078 -0.588696 0.353489
2.61649 -0.519271 -0.340349 1.08088 -0.00901913 -0.561614 0.349368
2.64123 -0.546466 -0.346501 1.08101 0.00253921 -0.534541 0.343962
2.66585 -0.573289 -0.351303 1.0807 0.0140399 -0.507407 0.337264
2.6905 -0.599823 -0.354805 1.07995 0.0255573 -0.480128 0.329248
2.71534 -0.626141 -0.357033 1.07876 0.0371648 -0.452618 0.319869
2.74052 -0.652301 -0.357998 1.0771 0.0489331 -0.424794 0.309065
2.76619 -0.678334 -0.357691 1.07492 0.0609256 -0.396588 0.296766
2.79243 -0.704224 -0.356098 1.07219 0.0731909 -0.367967 0.282907
2.81931 -0.729896 -0.353205 1.06885 0.0857509 -0.338957 0.267455
2.8468 -0.755196 -0.349022 1.06486 0.0985903 -0.309664 0.250431
2.8748 -0.779921 -0.343591 1.06017 0.111659 -0.280254 0.231932
2.90318 -0.80387 -0.336992 1.05477 0.124895 -0.250898 0.212097
2.93188 -0.826906 -0.329317 1.04861 0.138251 -0.221702 0.191066
2.96087 -0.848968 -0.320654 1.04165 0.151713 -0.192681 0.168941
2.9902 -0.870054 -0.311069 1.03383 0.165288 -0.163775 0.145781
3.01997 -0.890184 -0.300613 1.02506 0.178996 -0.134875 0.121617
3.05025 -0.909382 -0.289324 1.01523 0.192855 -0.105852 0.0964683
3.08115 -0.927659 -0.277236 1.00424 0.206868 -0.0765769 0.0703678
3.11268 -0.944997 -0.264396 0.991947 0.221006 -0.0469494 0.0433905
3.1448 -0.961339 -0.250885 0.97827 0.23519 -0.0169313 0.0156952
3.17734 -0.976585 -0.236839 0.963173 0.249273 0.0134117 -0.0124347
3.20998 -0.990616 -0.222453 0.946712 0.263046 0.0439042 -0.0405938
3.24238 -1.00334 -0.207944 0.929017 0.276281 0.0743273 -0.0683367
3.27426 -1.01476 -0.193493 0.910238 0.288788 0.10452 -0.0952952
3.30548 -1.02491 -0.17921 0.890488 0.300445 0.134427 -0.121235
3.33603 -1.03392 -0.165142 0.869832 0.311177 0.164086 -0.146035
3.36595 -1.04188 -0.151293 0.848297 0.320937 0.193582 -0.169644
3.39534 -1.0489 -0.137644 0.825883 0.329687 0.223021 -0.192043
3.42429 -1.05508 -0.124166 0.80258 0.337382 0.252503 -0.213216
3.45289 -1.06049 -0.11083 0.778385 0.343969 0.282106 -0.233138
3.48119 -1.06518 -0.0976199 0.753319 0.349379 0.311864 -0.251759
3.50919 -1.0692 -0.0845391 0.727458 0.353538 0.341742 -0.268999
3.53684 -1.07257 -0.0716199 0.700952 0.356372 0.371618 -0.284752
3.56403 -1.07532 -0.0589134 0.674013 0.357831 0.401307 -0.298918
3.59067 -1.07748 -0.0464657 0.646864 0.357901 0.430619 -0.311436
3.61672 -1.0791 -0.034293 0.619674 0.356602 0.459422 -0.322309
3.64223 -1.0802 -0.0223748 0.592529 0.353967 0.487671 -0.331592
3.6673 -1.08083 -0.0106621 0.565441 0.350029 0.515391 -0.339367
3.69206 -1.08102 0.000910331 0.53837 0.344804 0.542646 -0.345714
3.71669 -1.08077 0.0124147 0.51125 0.33829 0.569516 -0.350704
3.74132 -1.08008 0.0239252 0.483997 0.330462 0.596086 -0.354388
3.76613 -1.07896 0.0355156 0.456525 0.32128 0.622431 -0.356795
3.79126 -1.07736 0.0472571 0.42875 0.310681 0.648611 -0.357938
3.81684 -1.07526 0.0592145 0.400601 0.298598 0.674661 -0.357812
3.843 -1.07261 0.0714391 0.372038 0.284963 0.700575 -0.356402
3.86979 -1.06936 0.0839574 0.343079 0.269736 0.726285 -0.353693
3.8972 -1.06547 0.0967597 0.313817 0.252931 0.751649 -0.34969
3.92513 -1.06088 0.1098 0.284412 0.234632 0.776468 -0.344432
3.95347 -1.05558 0.123015 0.25504 0.214977 0.800537 -0.337992
3.98212 -1.04953 0.136357 0.225818 0.194108 0.823707 -0.330464
4.01107 -1.04268 0.149803 0.196775 0.172132 0.845909 -0.321936
4.04035 -1.03499 0.163361 0.167859 0.149117 0.867131 -0.312478
4.07005 -1.02636 0.17705 0.138965 0.125093 0.887395 -0.302143
4.10026 -1.01669 0.190887 0.109968 0.100083 0.906724 -0.290969
4.13106 -1.00587 0.204878 0.0807353 0.0741135 0.925131 -0.278992
4.1625 -0.993767 0.219001 0.0511619 0.0472529 0.942605 -0.266254
4.19455 -0.98029 0.233186 0.0211977 0.0196452 0.959092 -0.252832
4.22704 -0.965393 0.247296 -0.00910781 -0.00844564 0.9745 -0.23885
4.25969 -0.949117 0.261127 -0.0395926 -0.0366281 0.98871 -0.224499
4.29215 -0.931588 0.27445 -0.0700375 -0.0644549 1.00163 -0.209995
4.32411 -0.912954 0.287069 -0.100268 -0.0915417 1.01322 -0.195528
4.35543 -0.893336 0.298851 -0.130215 -0.117635 1.02355 -0.181217
4.38607 -0.872806 0.309717 -0.159905 -0.1426 1.03271 -0.167117
4.41608 -0.851395 0.319618 -0.189418 -0.16638 1.04081 -0.153238
4.44554 -0.829105 0.328513 -0.218858 -0.18895 1.04796 -0.139562
