# phi u x y
18.65 1 0.980155 -0.198234
18.75 1 0.995048 -0.0993915
18.85 1 1 0.000444078
18.95 1 0.99496 0.100275
19.05 1 0.979978 0.199105
19.15 1 0.955205 0.295944
19.25 1 0.920888 0.389827
19.35 1 0.87737 0.479815
19.45 1 0.825085 0.565009
19.55 1 0.764556 0.644557
19.65 1 0.696388 0.717665
19.75 1 0.621262 0.783603
19.85 1 0.539929 0.841711
19.95 1 0.4532 0.891409
20.05 1 0.361944 0.9322
20.15 1 0.267071 0.963677
20.25 1 0.16953 0.985525
20.35 1 0.0702942 0.997526
20.45 1 -0.0296434 0.999561
20.55 1 -0.129285 0.991607
20.65 1 -0.227635 0.973747
20.75 1 -0.32371 0.946156
20.85 1 -0.416551 0.909113
20.95 1 -0.505229 0.862985
21.05 1 -0.58886 0.808235
21.15 1 -0.666607 0.745409
21.25 1 -0.737694 0.675136
21.35 1 -0.801409 0.598116
21.45 1 -0.857118 0.515121
21.55 1 -0.904262 0.426978
21.65 1 -0.942371 0.33457
21.75 1 -0.971064 0.238818
21.85 1 -0.990055 0.14068
21.95 1 -0.999154 0.041137
22.05 1 -0.998269 -0.0588175
22.15 1 -0.98741 -0.158184
22.25 1 -0.966685 -0.25597
22.35 1 -0.936301 -0.351199
22.45 1 -0.896562 -0.442919
22.55 1 -0.847865 -0.530213
22.65 1 -0.790696 -0.612209
22.75 1 -0.725627 -0.688088
22.85 1 -0.653307 -0.757093
22.95 1 -0.574461 -0.818532
23.05 1 -0.489874 -0.871793
23.15 1 -0.400392 -0.916344
23.25 1 -0.30691 -0.951738
23.35 1 -0.210362 -0.977624
23.45 1 -0.111711 -0.993741
23.55 1 -0.0119446 -0.999929
23.65 1 0.0879414 -0.996126
23.75 1 0.186949 -0.98237
23.85 1 0.284088 -0.958798
23.95 1 0.378389 -0.925647
24.05 1 0.468909 -0.883247
24.15 1 0.554744 -0.832021
24.25 1 0.635036 -0.772483
24.35 1 0.708983 -0.705226
24.45 1 0.775846 -0.630922
24.55 1 0.834957 -0.550315
24.65 1 0.885726 -0.464209
24.75 1 0.927644 -0.373465
24.85 1 0.960294 -0.278989
24.95 1 0.983349 -0.181726
25.05 1 0.996579 -0.0826469
25.15 1 0.999851 0.0172579
25.25 1 0.993133 0.11699
25.35 1 0.976492 0.215554
25.45 1 0.950094 0.311963
25.55 1 0.914203 0.405256
25.65 1 0.869178 0.494499
25.75 1 0.815468 0.578802
25.85 1 0.75361 0.657321
25.95 1 0.684223 0.729273
26.05 1 0.607999 0.793938
26.15 1 0.5257 0.85067
26.25 1 0.438148 0.898903
26.35 1 0.346219 0.938154
26.45 1 0.25083 0.968031
26.55 1 0.152935 0.988236
26.65 1 0.053512 0.998567
26.75 1 -0.0464457 0.998921
26.85 1 -0.145939 0.989294
26.95 1 -0.243975 0.969782
27.05 1 -0.339573 0.94058
27.15 1 -0.431777 0.90198
27.25 1 -0.519668 0.854368
27.35 1 -0.602366 0.79822
27.45 1 -0.679046 0.734096
27.55 1 -0.748941 0.662637
27.65 1 -0.811353 0.584557
27.75 1 -0.865658 0.500636
27.85 1 -0.911313 0.411714
27.95 1 -0.947863 0.318677
28.05 1 -0.974943 0.222457
28.15 1 -0.99228 0.124014
28.25 1 -0.999704 0.0243315
28.35 1 -0.997139 -0.0755939
28.45 1 -0.98461 -0.174764
28.55 1 -0.962244 -0.272188
28.65 1 -0.930263 -0.366892
28.75 1 -0.888988 -0.457931
28.85 1 -0.83883 -0.544394
28.95 1 -0.780291 -0.625417
29.05 1 -0.713955 -0.700192
29.15 1 -0.640485 -0.76797
29.25 1 -0.560617 -0.828076
29.35 1 -0.475146 -0.879907
29.45 1 -0.384928 -0.922946
29.55 1 -0.290864 -0.956764
29.65 1 -0.193894 -0.981022
29.75 1 -0.0949868 -0.995479
29.85 1 0.00486977 -0.999988
29.95 1 0.104678 -0.994506
30.05 1 0.20344 -0.979087
30.15 1 0.300169 -0.953886
30.25 1 0.393899 -0.919154
30.35 1 0.483693 -0.875237
30.45 1 0.568655 -0.822576
30.55 1 0.647935 -0.761696
30.65 1 0.72074 -0.693205
30.75 1 0.786345 -0.617788
30.85 1 0.844092 -0.536198
30.95 1 0.893406 -0.449251
31.05 1 0.933793 -0.357815
31.15 1 0.964849 -0.262803
31.25 1 0.986266 -0.165166
31.35 1 0.997828 -0.0658788
31.45 1 0.99942 0.0340669
31.55 1 0.991026 0.133672
31.65 1 0.97273 0.231942
31.75 1 0.944715 0.327894
31.85 1 0.90726 0.42057
31.95 1 0.860741 0.509044
32.05 1 0.805621 0.592431
32.15 1 0.742452 0.6699
32.25 1 0.671864 0.740674
32.35 1 0.594564 0.804049
32.45 1 0.511322 0.859389
32.55 1 0.422972 0.906143
32.65 1 0.330396 0.943842
32.75 1 0.234518 0.972112
32.85 1 0.136297 0.990668
32.95 1 0.0367146 0.999326
33.05 1 -0.0632349 0.997999
33.15 1 -0.162553 0.9867
33.25 1 -0.260246 0.965542
33.35 1 -0.355339 0.934737
33.45 1 -0.446882 0.894593
33.55 1 -0.53396 0.84551
33.65 1 -0.615702 0.787979
33.75 1 -0.691293 0.722574
33.85 1 -0.759977 0.64995
33.95 1 -0.821067 0.570832
34.05 1 -0.873953 0.486011
34.15 1 -0.918107 0.396333
34.25 1 -0.953087 0.302695
34.35 1 -0.978545 0.206033
34.45 1 -0.994225 0.107312
34.55 1 -0.999972 0.00751912
34.65 1 -0.995727 -0.092349
34.75 1 -0.981533 -0.191294
34.85 1 -0.957532 -0.288329
34.95 1 -0.923963 -0.382482
35.05 1 -0.881163 -0.472813
35.15 1 -0.829558 -0.558421
35.25 1 -0.769665 -0.638449
35.35 1 -0.702081 -0.712097
35.45 1 -0.627482 -0.778631
35.55 1 -0.546614 -0.837385
35.65 1 -0.460284 -0.887772
35.75 1 -0.369356 -0.929288
35.85 1 -0.274736 -0.96152
35.95 1 -0.177372 -0.984144
36.05 1 -0.0782355 -0.996935
36.15 1 0.0216828 -0.999765
36.25 1 0.121384 -0.992606
36.35 1 0.219873 -0.975528
36.45 1 0.316165 -0.948704
36.55 1 0.409298 -0.912401
36.65 1 0.498341 -0.866981
36.75 1 0.582405 -0.812899
36.85 1 0.66065 -0.750694
36.95 1 0.732294 -0.680989
37.05 1 0.796621 -0.604479
37.15 1 0.852988 -0.52193
37.25 1 0.900833 -0.434166
37.35 1 0.939677 -0.342063
37.45 1 0.969132 -0.246543
37.55 1 0.988903 -0.14856
37.65 1 0.998794 -0.0490921
37.75 1 0.998705 0.0508662
37.85 1 0.988638 0.150316
37.95 1 0.968692 0.248264
38.05 1 0.939068 0.343732
38.15 1 0.90006 0.435765
38.25 1 0.85206 0.523444
38.35 1 0.795546 0.605893
38.45 1 0.731083 0.682288
38.55 1 0.659316 0.751866
38.65 1 0.58096 0.813932
38.75 1 0.4968 0.867865
38.85 1 0.407677 0.913126
38.95 1 0.314479 0.949264
39.05 1 0.21814 0.975917
39.15 1 0.119621 0.99282
39.25 1 0.0199069 0.999802
39.35 1 -0.0800062 0.996794
39.45 1 -0.17912 0.983827
39.55 1 -0.276444 0.96103
39.65 1 -0.371006 0.928631
39.75 1 -0.461861 0.886953
39.85 1 -0.548101 0.836412
39.95 1 -0.628864 0.777515
40.05 1 -0.703345 0.710849
40.15 1 -0.770797 0.63708
40.25 1 -0.830549 0.556946
40.35 1 -0.882001 0.471247
40.45 1 -0.924641 0.38084
40.55 1 -0.958042 0.286627
40.65 1 -0.981871 0.189551
40.75 1 -0.995889 0.0905802
40.85 1 -0.999957 -0.00929537
40.95 1 -0.994033 -0.109078
41.05 1 -0.978178 -0.207771
41.15 1 -0.952548 -0.304388
41.25 1 -0.917401 -0.397963
41.35 1 -0.873088 -0.487562
41.45 1 -0.820051 -0.57229
41.55 1 -0.758821 -0.651299
41.65 1 -0.690009 -0.723801
41.75 1 -0.614302 -0.789071
41.85 1 -0.532457 -0.846457
41.95 1 -0.445292 -0.895385
42.05 1 -0.353678 -0.935367
42.15 1 -0.258531 -0.966003
42.25 1 -0.1608 -0.986987
42.35 1 -0.0614621 -0.998109
42.45 1 0.0384897 -0.999259
42.55 1 0.138057 -0.990424
42.65 1 0.236245 -0.971694
42.75 1 0.332072 -0.943254
42.85 1 0.424581 -0.90539
42.95 1 0.512848 -0.858479
