0 10 5
0.00948491 9.65817 5.33467
0.0187643 9.30627 5.66547
0.0285005 8.92128 6.01302
0.0389036 8.49579 6.381
0.0501875 8.02275 6.7712
0.0623515 7.50586 7.17523
0.073837 7.01754 7.53516
0.0846115 6.56447 7.84926
0.095336 6.12279 8.13575
0.105554 5.7141 8.38191
0.115345 5.33617 8.59162
0.124829 4.98475 8.76939
0.134108 4.65631 8.91867
0.14326 4.34813 9.04202
0.152349 4.05813 9.14133
0.161431 3.78468 9.21804
0.170553 3.52645 9.27321
0.179758 3.28237 9.30767
0.189087 3.05151 9.32206
0.198583 2.83311 9.31684
0.208284 2.62648 9.29232
0.218236 2.43099 9.24872
0.228484 2.2461 9.18611
0.23908 2.07129 9.10446
0.250082 1.90608 9.00359
0.261558 1.75 8.88318
0.273585 1.60263 8.74273
0.28626 1.46354 8.58154
0.299696 1.33232 8.39864
0.314031 1.20864 8.19283
0.329418 1.09228 7.96278
0.346001 0.983348 7.70769
0.363808 0.882624 7.42898
0.382613 0.791707 7.13273
0.401982 0.711972 6.82866
0.421577 0.643297 6.52475
0.441295 0.584349 6.22477
0.461173 0.533536 5.92987
0.481287 0.489484 5.6403
0.501706 0.451117 5.35629
0.522479 0.417601 5.07825
0.543635 0.388277 4.80673
0.565181 0.362615 4.54242
0.587113 0.340172 4.28605
0.609411 0.320574 4.03834
0.632049 0.303498 3.79991
0.654996 0.288659 3.57129
0.678223 0.275806 3.3528
0.7017 0.264718 3.14466
0.725404 0.255201 2.9469
0.749313 0.247082 2.75944
0.773413 0.240213 2.58208
0.797693 0.234466 2.41457
0.822144 0.229729 2.25655
0.846764 0.225908 2.10768
0.871551 0.222922 1.96754
0.896509 0.220703 1.83574
0.92164 0.219193 1.71186
0.946951 0.218346 1.59549
0.972451 0.218122 1.48623
0.998149 0.21849 1.3837
1.02406 0.219426 1.28751
1.05019 0.220911 1.1973
1.07655 0.222933 1.11273
1.10317 0.225484 1.03348
1.13006 0.228561 0.959224
1.15724 0.232167 0.889674
1.18472 0.236308 0.82455
1.21254 0.240997 0.76359
1.24071 0.246249 0.706543
1.26926 0.252085 0.653175
1.29822 0.258533 0.603266
1.32762 0.265625 0.556607
1.35749 0.273399 0.513002
1.38788 0.2819 0.472267
1.41883 0.291184 0.434228
1.45038 0.301313 0.398722
1.48259 0.312361 0.365595
1.51551 0.324414 0.334704
1.54921 0.337573 0.305912
1.58376 0.351958 0.279095
1.61925 0.367709 0.254132
1.65577 0.384991 0.230912
1.69342 0.404003 0.209332
1.73234 0.424982 0.189293
1.77266 0.448217 0.170704
1.81456 0.474063 0.153478
1.85824 0.502961 0.13753
1.90396 0.535473 0.122782
1.95205 0.572328 0.109155
2.00293 0.6145 0.0965735
2.05718 0.663324 0.084962
2.11552 0.720647 0.0742554
2.17867 0.788788 0.0644375
2.24596 0.869056 0.0556759
2.3137 0.958621 0.0483365
2.37878 1.05381 0.0424525
2.44095 1.15393 0.0377301
2.50088 1.25977 0.0338838
2.55917 1.3723 0.0307142
2.61622 1.49239 0.0280856
2.67226 1.62082 0.0259018
2.72749 1.75838 0.0240923
2.78202 1.90583 0.0226045
2.83595 2.06397 0.0213991
2.88935 2.23359 0.0204469
2.94227 2.41556 0.0197277
2.99475 2.61073 0.0192288
3.04681 2.81998 0.0189446
3.09846 3.04418 0.0188769
3.1497 3.28417 0.0190349
3.20049 3.54073 0.0194363
3.2508 3.81448 0.0201086
3.30056 4.10585 0.0210907
3.34966 4.41496 0.0224351
3.39798 4.7415 0.0242107
3.44536 5.08465 0.0265054
3.49162 5.44298 0.0294291
3.53657 5.81447 0.0331173
3.58003 6.19663 0.0377353
3.62186 6.58674 0.0434841
3.66199 6.98219 0.0506111
3.7004 7.38079 0.0594269
3.73719 7.781 0.0703312
3.77251 8.18208 0.0838556
3.80658 8.58425 0.100735
3.83975 8.98895 0.122042
3.87248 9.39961 0.149467
3.90555 9.82332 0.185995
3.94022 10.2725 0.237471
3.96417 10.5822 0.283716
3.98473 10.8449 0.332468
4.00297 11.0732 0.384409
4.01959 11.2753 0.440363
4.03497 11.4554 0.50082
4.04933 11.6156 0.566144
4.06284 11.7576 0.636651
4.07626 11.8884 0.716687
4.08839 11.9961 0.798823
4.10045 12.0914 0.890875
4.11202 12.17 0.990149
4.1231 12.2318 1.09635
4.13372 12.2772 1.20965
4.14395 12.3062 1.33028
4.15383 12.3192 1.45849
4.1634 12.3162 1.59452
4.17269 12.2972 1.7386
4.18174 12.2624 1.89099
4.19058 12.2115 2.0519
4.19924 12.1445 2.22159
4.20774 12.0612 2.40028
4.2161 11.9614 2.58822
4.22436 11.8448 2.78567
4.23253 11.7112 2.99288
4.24064 11.5601 3.21015
4.24872 11.391 3.43777
4.2568 11.2034 3.67611
4.2649 10.9965 3.92554
4.27307 10.7695 4.18654
4.28133 10.5212 4.45965
4.28974 10.2502 4.74556
4.29836 9.95473 5.04514
4.30726 9.63224 5.3595
4.31653 9.27948 5.69013
4.3263 8.89187 6.03899
4.33676 8.46316 6.40855
4.34812 7.98651 6.80029
4.36032 7.4676 7.20421
4.37175 6.98195 7.56053
4.38248 6.53146 7.87137
4.39316 6.09254 8.15462
4.40334 5.68624 8.39798
4.4131 5.31034 8.60528
4.42257 4.96067 8.78091
4.43184 4.63374 8.92827
4.44098 4.32692 9.04986
4.45007 4.03815 9.14752
4.45915 3.76582 9.22266
4.46828 3.50863 9.27633
4.47749 3.26552 9.30935
4.48683 3.03558 9.32234
4.49634 2.81804 9.31573
4.50606 2.61221 9.28985
4.51603 2.4175 9.2449
4.5263 2.23334 9.18094
4.53692 2.05923 9.09792
4.54796 1.89468 8.99567
4.55947 1.73924 8.87386
4.57154 1.59247 8.73196
4.58426 1.45395 8.56926
4.59776 1.32328 8.38478
4.61216 1.20013 8.17728
4.62763 1.08429 7.94547
4.6443 0.975898 7.68861
4.66219 0.875812 7.40838
4.68105 0.785658 7.11124
4.70044 0.706734 6.80697
4.72005 0.638802 6.50326
4.73978 0.580484 6.20363
4.75967 0.530193 5.90909
4.7798 0.486578 5.61991
4.80025 0.448582 5.33632
4.82104 0.415384 5.05872
4.84223 0.386337 4.78768
4.8638 0.360917 4.52391
4.88576 0.338688 4.26814
4.90808 0.31928 4.02106
4.93074 0.302371 3.78332
4.95371 0.287682 3.55541
4.97696 0.274961 3.33766
5.00045 0.263992 3.13025
5.02417 0.254579 2.93323
5.0481 0.246554 2.74649
5.07221 0.239769 2.56985
5.0965 0.234097 2.40302
5.12096 0.229428 2.24567
5.1456 0.225669 2.09742
5.17039 0.222739 1.95789
5.19536 0.220572 1.82667
5.22051 0.219112 1.70334
5.24583 0.21831 1.58749
5.27135 0.218129 1.47872
5.29706 0.218539 1.37665
5.32298 0.219514 1.2809
5.34913 0.221038 1.1911
5.37551 0.223097 1.10692
5.40215 0.225685 1.02804
5.42906 0.2288 0.954125
5.45626 0.232444 0.884899
5.48376 0.236624 0.82008
5.5116 0.241352 0.759406
5.5398 0.246644 0.702628
5.56838 0.252523 0.649513
5.59737 0.259016 0.599842
5.6268 0.266155 0.553407
5.65671 0.273979 0.510012
5.68714 0.282534 0.469474
5.71813 0.291876 0.431621
5.74972 0.302068 0.396289
5.78198 0.313184 0.363326
5.81495 0.325312 0.332588
5.84871 0.338554 0.303941
5.88333 0.353032 0.277259
5.91888 0.368885 0.252424
5.95548 0.386283 0.229324
5.99322 0.405427 0.207857
6.03223 0.426556 0.187924
6.07266 0.449964 0.169435
6.11468 0.476012 0.152302
6.15849 0.505146 0.136442
6.20437 0.537941 0.121777
6.25264 0.575139 0.108227
6.30374 0.617734 0.0957165
6.35825 0.667095 0.0841713
6.41693 0.725108 0.0735273
6.48042 0.794101 0.0637755
6.5479 0.875176 0.0551033
6.61551 0.96523 0.0478726
6.68036 1.06076 0.0420821
6.74235 1.16126 0.0374304
6.80215 1.26755 0.0336379
6.86034 1.38059 0.0305107
6.91731 1.50124 0.0279165
6.97329 1.6303 0.0257614
7.02846 1.76853 0.0239764
7.08295 1.91672 0.0225099
7.13684 2.07564 0.0213233
7.1902 2.24612 0.0203883
7.24309 2.429 0.0196851
7.29554 2.62514 0.0192015
7.34757 2.83542 0.0189326
7.39919 3.06072 0.0188805
7.4504 3.30187 0.0190551
7.50116 3.55963 0.0194748
7.55144 3.83462 0.0201677
7.60115 4.12725 0.0211736
7.6502 4.43761 0.0225463
7.69846 4.76537 0.0243556
7.74576 5.10966 0.0266911
7.79194 5.469 0.0296644
7.83679 5.84133 0.0334129
7.88014 6.22414 0.0381042
7.92185 6.61472 0.0439422
7.96185 7.01046 0.0511783
8.00015 7.40922 0.0601281
8.03682 7.80951 0.0711993
8.07204 8.21064 0.084935
8.10604 8.61292 0.102089
8.13916 9.01791 0.123765
8.17188 9.4292 0.151717
8.20502 9.85426 0.189069
8.23984 10.3054 0.241917
8.26331 10.6088 0.288199
8.28359 10.8675 0.337174
8.30166 11.0931 0.389461
8.31815 11.2931 0.445818
8.33343 11.4712 0.506715
8.3477 11.6297 0.572511
8.36114 11.77 0.643518
8.37449 11.8991 0.724074
8.38657 12.0053 0.80676
8.39857 12.099 0.899384
8.41009 12.1762 0.99925
8.42112 12.2365 1.10607
8.43171 12.2804 1.22
8.44191 12.308 1.34129
8.45176 12.3195 1.47018
8.4613 12.3151 1.60691
8.47057 12.2948 1.75172
8.47961 12.2585 1.90485
8.48843 12.2062 2.06653
8.49707 12.1378 2.237
8.50555 12.053 2.4165
8.51391 11.9518 2.60527
8.52216 11.8337 2.80357
8.53032 11.6986 3.01166
8.53843 11.5459 3.22983
8.54651 11.3752 3.45838
8.55459 11.1859 3.69768
8.5627 10.9773 3.94811
8.57087 10.7485 4.21016
8.57914 10.4982 4.48437
8.58757 10.2252 4.77145
8.59621 9.92738 5.07229
8.60513 9.60237 5.38802
8.61444 9.24673 5.72016
8.62427 8.85577 6.07075
8.6348 8.42308 6.44225
8.64624 7.94205 6.83582
8.65849 7.42104 7.23929
8.66985 6.93869 7.59123
8.68052 6.4913 7.89811
8.69114 6.05573 8.17744
8.70128 5.65233 8.41742
8.71101 5.27888 8.62179
8.72046 4.93131 8.79484
8.72971 4.60624 8.93986
8.73885 4.30107 9.0593
8.74793 4.01379 9.15495
8.75702 3.74282 9.22818
8.76615 3.4869 9.28002
8.77537 3.24497 9.31128
8.78473 3.01614 9.32253
8.79425 2.79964 9.31424
8.80399 2.59481 9.28669
8.81398 2.40104 9.24008
8.82428 2.21777 9.17446
8.83494 2.04451 9.08978
8.84601 1.88078 8.98584
8.85757 1.72611 8.8623
8.86969 1.58008 8.71862
8.88248 1.44225 8.55407
8.89605 1.31225 8.36763
8.91054 1.18974 8.15807
8.92611 1.07454 7.92408
8.94289 0.966827 7.66506
8.96088 0.867535 7.38303
8.9798 0.778325 7.08487
8.99922 0.700392 6.78041
9.01884 0.633361 6.47696
9.03858 0.575804 6.17775
9.05849 0.526144 5.88368
9.07864 0.483057 5.59497
9.09912 0.445508 5.31188
