# phi u x y
12.3016 1.13086 0.853459 -0.231436
12.3845 1.09042 0.901959 -0.165843
12.4672 1.04949 0.948163 -0.0943161
12.5496 1.00837 0.991559 -0.0166045
12.6317 0.967347 1.03155 0.067511
12.7135 0.926699 1.06744 0.158198
12.795 0.886703 1.09844 0.255547
12.8761 0.847621 1.12365 0.359545
12.9568 0.809705 1.14208 0.470036
13.0372 0.773191 1.15262 0.586684
13.1172 0.7383 1.15412 0.708927
13.1968 0.705236 1.14536 0.83593
13.2761 0.674186 1.12512 0.966542
13.355 0.645315 1.09224 1.09926
13.4335 0.618774 1.04569 1.2322
13.5116 0.59469 0.984668 1.3631
13.5893 0.573173 0.908696 1.48935
13.6667 0.554314 0.817719 1.60806
13.7438 0.538187 0.712197 1.71618
13.8206 0.524849 0.593175 1.81062
13.8971 0.514341 0.462303 1.88847
13.9734 0.506692 0.321815 1.94717
14.0495 0.50192 0.174453 1.9847
14.1255 0.500034 0.0233306 1.99973
14.2015 0.501033 -0.128231 1.99175
14.2774 0.504911 -0.276893 1.9611
14.3535 0.511653 -0.419494 1.9089
14.4297 0.521238 -0.553214 1.83702
14.5061 0.533637 -0.675712 1.74787
14.5827 0.548807 -0.785208 1.64427
14.6596 0.566695 -0.880518 1.52924
14.7368 0.587232 -0.961033 1.40581
14.8144 0.610335 -1.02667 1.27689
14.8923 0.635902 -1.07779 1.14514
14.9706 0.663815 -1.11509 1.01289
15.0492 0.693935 -1.13953 0.882114
15.1282 0.726107 -1.1522 0.754416
15.2077 0.760156 -1.15429 0.63104
15.2875 0.795889 -1.147 0.512914
15.3676 0.833097 -1.13149 0.400682
15.4482 0.871554 -1.10887 0.294752
15.529 0.91102 -1.08015 0.195342
15.6103 0.951241 -1.04625 0.102517
15.6919 0.991952 -1.00798 0.0162264
15.7738 1.03288 -0.966072 -0.0636645
15.856 1.07374 -0.921141 -0.137351
15.9385 1.11425 -0.873725 -0.205066
16.0213 1.15411 -0.824282 -0.267066
16.1044 1.19305 -0.773199 -0.323618
16.1877 1.23076 -0.720799 -0.374987
16.2712 1.26697 -0.667353 -0.421435
16.355 1.30141 -0.613083 -0.463208
16.439 1.33381 -0.558171 -0.50054
16.5231 1.36393 -0.502765 -0.533645
16.6075 1.39151 -0.446983 -0.562718
16.692 1.41636 -0.39092 -0.587933
16.7766 1.43827 -0.334649 -0.609444
16.8613 1.45707 -0.278227 -0.627383
16.9462 1.4726 -0.221697 -0.641861
17.0311 1.48475 -0.165091 -0.652969
17.1161 1.4934 -0.108434 -0.660775
17.2011 1.49849 -0.0517431 -0.665327
17.2862 1.49999 0.00496627 -0.666654
17.3713 1.49786 0.061682 -0.664763
17.4563 1.49214 0.118391 -0.65964
17.5414 1.48286 0.175079 -0.651251
17.6264 1.47009 0.231727 -0.639542
17.7113 1.45395 0.288308 -0.624437
17.7962 1.43455 0.344789 -0.605839
17.8809 1.41206 0.401124 -0.583631
17.9655 1.38665 0.457253 -0.557672
18.05 1.35851 0.513097 -0.527801
18.1344 1.32788 0.568558 -0.493836
18.2185 1.29498 0.623511 -0.455573
18.3025 1.26007 0.6778 -0.41279
18.3863 1.22342 0.731234 -0.365244
18.4699 1.18531 0.783577 -0.31268
18.5532 1.14602 0.834546 -0.254829
18.6363 1.10584 0.8838 -0.191417
18.7191 1.06506 0.930931 -0.122173
18.8016 1.02398 0.975458 -0.046836
18.8838 0.982885 1.01682 0.0348265
18.9657 0.942061 1.05435 0.123004
19.0473 0.901786 1.08731 0.217821
19.1285 0.862327 1.11483 0.319306
19.2094 0.82394 1.13595 0.427362
19.2899 0.786867 1.14962 0.541726
19.3701 0.751335 1.15469 0.661928
19.4499 0.717555 1.14997 0.787242
19.5293 0.68572 1.13423 0.916643
19.6083 0.656004 1.10627 1.04876
19.6869 0.628563 1.06502 1.18186
19.7652 0.603532 1.00957 1.31383
19.8431 0.581029 0.939299 1.44217
19.9206 0.561152 0.853991 1.56409
19.9978 0.543981 0.753898 1.6766
20.0747 0.529579 0.639837 1.77659
20.1513 0.517993 0.513229 1.86106
20.2276 0.509256 0.376092 1.9273
20.3038 0.503392 0.230989 1.97305
20.3799 0.50041 0.0809095 1.99672
20.4558 0.500315 -0.0708816 1.99749
20.5318 0.503101 -0.22103 1.97534
20.6078 0.508758 -0.366285 1.93114
20.6839 0.517268 -0.503679 1.86647
20.7602 0.528603 -0.630676 1.78356
