# z  cspline(z)  cos(z)  cspline'(z)  -sin(z)  cspline_integ(z)  sin(z)
6.624 0.943009 0.942483 -0.329394 -0.334255 0.308225 0.334255
6.642 0.936928 0.936314 -0.346289 -0.351165 0.325145 0.351165
6.66 0.930543 0.929841 -0.363142 -0.367961 0.341952 0.367961
6.678 0.923855 0.923068 -0.379951 -0.384637 0.358642 0.384637
6.696 0.916865 0.915995 -0.396717 -0.401189 0.375209 0.401189
6.714 0.909573 0.908626 -0.41344 -0.417611 0.391648 0.417611
6.732 0.901981 0.900962 -0.43012 -0.433898 0.407952 0.433898
6.75 0.894089 0.893006 -0.446756 -0.450044 0.424117 0.450044
6.768 0.885898 0.884761 -0.46335 -0.466044 0.440137 0.466044
6.786 0.877409 0.87623 -0.4799 -0.481894 0.456008 0.481894
6.804 0.868622 0.867414 -0.496406 -0.497587 0.471722 0.497587
6.822 0.859539 0.858317 -0.51287 -0.513119 0.487276 0.513119
6.84 0.850159 0.848943 -0.52929 -0.528485 0.502664 0.528485
6.858 0.840484 0.839293 -0.545668 -0.543679 0.51788 0.543679
6.876 0.830515 0.829371 -0.562001 -0.558698 0.53292 0.558698
6.894 0.820253 0.819181 -0.578292 -0.573535 0.547777 0.573535
6.912 0.809697 0.808725 -0.59454 -0.588187 0.562447 0.588187
6.93 0.798849 0.798007 -0.610744 -0.602648 0.576924 0.602648
6.948 0.78771 0.787031 -0.626905 -0.616913 0.591204 0.616913
6.966 0.776281 0.7758 -0.643023 -0.630979 0.60528 0.630979
6.984 0.764562 0.764317 -0.659097 -0.644841 0.619148 0.644841
7.002 0.752554 0.752587 -0.675126 -0.658493 0.632803 0.658493
7.02 0.740259 0.740613 -0.690881 -0.671932 0.646238 0.671932
7.038 0.727685 0.728399 -0.70621 -0.685154 0.65945 0.685154
7.056 0.714838 0.715948 -0.721114 -0.698153 0.672433 0.698153
7.074 0.701727 0.703266 -0.735593 -0.710926 0.685183 0.710926
7.092 0.688359 0.690356 -0.749646 -0.723469 0.697694 0.723469
7.11 0.674742 0.677223 -0.763274 -0.735778 0.709962 0.735778
7.128 0.660884 0.66387 -0.776477 -0.747848 0.721983 0.747848
7.146 0.646792 0.650302 -0.789254 -0.759676 0.733753 0.759676
7.164 0.632473 0.636523 -0.801606 -0.771258 0.745266 0.771258
7.182 0.617936 0.622538 -0.813533 -0.78259 0.75652 0.78259
7.2 0.603189 0.608351 -0.825034 -0.793668 0.767511 0.793668
7.218 0.588238 0.593968 -0.83611 -0.804489 0.778234 0.804489
7.236 0.573091 0.579391 -0.84676 -0.81505 0.788686 0.81505
7.254 0.557757 0.564627 -0.856986 -0.825346 0.798864 0.825346
7.272 0.542242 0.54968 -0.866785 -0.835375 0.808764 0.835375
7.29 0.526555 0.534555 -0.87616 -0.845133 0.818384 0.845133
7.308 0.510703 0.519257 -0.885109 -0.854618 0.827719 0.854618
7.326 0.494694 0.503791 -0.893633 -0.863826 0.836768 0.863826
7.344 0.478535 0.488161 -0.901732 -0.872753 0.845528 0.872753
7.362 0.462234 0.472373 -0.909405 -0.881399 0.853995 0.881399
7.38 0.445799 0.456433 -0.916653 -0.889758 0.862167 0.889758
7.398 0.429237 0.440344 -0.923475 -0.897829 0.870043 0.897829
7.416 0.412556 0.424112 -0.929872 -0.90561 0.877619 0.90561
7.434 0.395764 0.407744 -0.935844 -0.913096 0.884894 0.913096
7.452 0.378869 0.391243 -0.94139 -0.920288 0.891866 0.920288
7.47 0.361877 0.374615 -0.946512 -0.92718 0.898533 0.92718
7.488 0.344797 0.357866 -0.951207 -0.933773 0.904893 0.933773
7.506 0.327636 0.341001 -0.955478 -0.940063 0.910945 0.940063
7.524 0.310402 0.324026 -0.959323 -0.946048 0.916687 0.946048
7.542 0.293103 0.306945 -0.962743 -0.951727 0.922119 0.951727
7.56 0.275746 0.289765 -0.965737 -0.957098 0.927239 0.957098
7.578 0.258339 0.272492 -0.968306 -0.962158 0.932046 0.962158
7.596 0.240889 0.25513 -0.97045 -0.966907 0.936539 0.966907
7.614 0.223405 0.237685 -0.972168 -0.971342 0.940717 0.971342
7.632 0.205894 0.220163 -0.973461 -0.975463 0.944581 0.975463
7.65 0.188363 0.20257 -0.974329 -0.979268 0.948129 0.979268
7.668 0.170821 0.184911 -0.974771 -0.982755 0.951362 0.982755
7.686 0.153274 0.167193 -0.974788 -0.985924 0.954279 0.985924
7.704 0.135731 0.14942 -0.97438 -0.988774 0.95688 0.988774
7.722 0.118199 0.131599 -0.973546 -0.991303 0.959165 0.991303
7.74 0.100686 0.113735 -0.972287 -0.993511 0.961135 0.993511
7.758 0.083199 0.0958343 -0.970603 -0.995397 0.96279 0.995397
7.776 0.0657465 0.0779026 -0.968493 -0.996961 0.964131 0.996961
7.794 0.0483358 0.0599457 -0.965958 -0.998202 0.965157 0.998202
7.812 0.0309745 0.0419693 -0.962998 -0.999119 0.965871 0.999119
7.83 0.0136704 0.0239793 -0.959612 -0.999712 0.966273 0.999712
7.848 -0.00356896 0.0059816 -0.955801 -0.999982 0.966363 0.999982
7.866 -0.0207359 -0.0120181 -0.951565 -0.999928 0.966145 0.999928
7.884 -0.0378227 -0.0300139 -0.946903 -0.999549 0.965617 0.999549
7.902 -0.0548218 -0.0479999 -0.941816 -0.998847 0.964784 0.998847
7.92 -0.0717256 -0.0659704 -0.936304 -0.997822 0.963644 0.997822
7.938 -0.0885262 -0.0839196 -0.930366 -0.996473 0.962202 0.996473
7.956 -0.105216 -0.101841 -0.924003 -0.994801 0.960458 0.994801
7.974 -0.121788 -0.11973 -0.917214 -0.992806 0.958415 0.992806
7.992 -0.138233 -0.137581 -0.910001 -0.990491 0.956075 0.990491
8.01 -0.154546 -0.155386 -0.902448 -0.987854 0.953439 0.987854
8.028 -0.170722 -0.173141 -0.894977 -0.984897 0.950512 0.984897
8.046 -0.186766 -0.190841 -0.887644 -0.981621 0.947294 0.981621
8.064 -0.202678 -0.208478 -0.880447 -0.978027 0.943789 0.978027
8.082 -0.218462 -0.226048 -0.873387 -0.974116 0.939999 0.974116
8.1 -0.234121 -0.243544 -0.866465 -0.96989 0.935925 0.96989
8.118 -0.249656 -0.260962 -0.85968 -0.965349 0.931571 0.965349
8.136 -0.26507 -0.278295 -0.853031 -0.960496 0.926938 0.960496
8.154 -0.280366 -0.295538 -0.84652 -0.955331 0.922029 0.955331
8.172 -0.295546 -0.312685 -0.840146 -0.949857 0.916846 0.949857
8.19 -0.310612 -0.329731 -0.833909 -0.944075 0.91139 0.944075
8.208 -0.325567 -0.34667 -0.827809 -0.937987 0.905664 0.937987
8.226 -0.340414 -0.363496 -0.821846 -0.931596 0.89967 0.931596
8.244 -0.355155 -0.380205 -0.81602 -0.924902 0.89341 0.924902
8.262 -0.369792 -0.396791 -0.810331 -0.917909 0.886885 0.917909
8.28 -0.384327 -0.413248 -0.804779 -0.910618 0.880098 0.910618
8.298 -0.398764 -0.429572 -0.799365 -0.903033 0.87305 0.903033
8.316 -0.413105 -0.445756 -0.794087 -0.895155 0.865743 0.895155
8.334 -0.427352 -0.461795 -0.788947 -0.886986 0.858179 0.886986
8.352 -0.441508 -0.477686 -0.783944 -0.878531 0.850359 0.878531
8.37 -0.455575 -0.493421 -0.779077 -0.869791 0.842285 0.869791
8.388 -0.469556 -0.508996 -0.774348 -0.860769 0.833959 0.860769
8.406 -0.483453 -0.524407 -0.769756 -0.851468 0.825382 0.851468
8.424 -0.497268 -0.539648 -0.765301 -0.841891 0.816555 0.841891
8.442 -0.511004 -0.554713 -0.760983 -0.832042 0.807481 0.832042
8.46 -0.524664 -0.569599 -0.756802 -0.821922 0.798159 0.821922
8.478 -0.53825 -0.584301 -0.752758 -0.811537 0.788593 0.811537
8.496 -0.551764 -0.598813 -0.748851 -0.800889 0.778783 0.800889
8.514 -0.565209 -0.613131 -0.745082 -0.789981 0.76873 0.789981
8.532 -0.578588 -0.627251 -0.741449 -0.778817 0.758436 0.778817
8.55 -0.591902 -0.641167 -0.737954 -0.767401 0.747901 0.767401
8.568 -0.605155 -0.654876 -0.734595 -0.755736 0.737128 0.755736
8.586 -0.618349 -0.668372 -0.731374 -0.743827 0.726116 0.743827
8.604 -0.631485 -0.681652 -0.728289 -0.731676 0.714867 0.731676
8.622 -0.644568 -0.694711 -0.725342 -0.719289 0.703383 0.719289
8.64 -0.657598 -0.707545 -0.722532 -0.706668 0.691663 0.706668
8.658 -0.67058 -0.72015 -0.719859 -0.693818 0.67971 0.693818
8.676 -0.683514 -0.732521 -0.717323 -0.680744 0.667523 0.680744
8.694 -0.696404 -0.744655 -0.714924 -0.667449 0.655103 0.667449
8.712 -0.709252 -0.756548 -0.712663 -0.653938 0.642452 0.653938
8.73 -0.722061 -0.768196 -0.710538 -0.640215 0.629571 0.640215
8.748 -0.734832 -0.779595 -0.70855 -0.626284 0.616458 0.626284
8.766 -0.74757 -0.790741 -0.7067 -0.612151 0.603117 0.612151
8.784 -0.760274 -0.801631 -0.704986 -0.597819 0.589546 0.597819
8.802 -0.77295 -0.812261 -0.70341 -0.583294 0.575747 0.583294
8.82 -0.785598 -0.822628 -0.70197 -0.568579 0.56172 0.568579
8.838 -0.798222 -0.832729 -0.700668 -0.553681 0.547466 0.553681
8.856 -0.810823 -0.84256 -0.699503 -0.538603 0.532984 0.538603
8.874 -0.823405 -0.852118 -0.698475 -0.52335 0.518276 0.52335
8.892 -0.835969 -0.861399 -0.697584 -0.507928 0.503342 0.507928
8.91 -0.848518 -0.870402 -0.69683 -0.492342 0.488181 0.492342
8.928 -0.861056 -0.879123 -0.696213 -0.476595 0.472795 0.476595
8.946 -0.873583 -0.887559 -0.695733 -0.460695 0.457183 0.460695
8.964 -0.886103 -0.895707 -0.695391 -0.444645 0.441346 0.444645
8.982 -0.898618 -0.903565 -0.695185 -0.428451 0.425284 0.428451
9 -0.91113 -0.91113 -0.695116 -0.412118 0.408996 0.412118
