# z  qspline(z)  sin(z)  qspline'(z)  cos(z)  qspline_integ(z)  1-cos(z)
6.768 0.400184 0.466044 1.0554 0.884761 0.0696938 0.115239
6.786 0.419253 0.481894 1.06339 0.87623 0.0770685 0.12377
6.804 0.438466 0.497587 1.07139 0.867414 0.0847877 0.132586
6.822 0.457823 0.513119 1.07938 0.858317 0.0928541 0.141683
6.84 0.477323 0.528485 1.08737 0.848943 0.10127 0.151057
6.858 0.496968 0.543679 1.09536 0.839293 0.110039 0.160707
6.876 0.516757 0.558698 1.10336 0.829371 0.119162 0.170629
6.894 0.536689 0.573535 1.11135 0.819181 0.128643 0.180819
6.912 0.556765 0.588187 1.11934 0.808725 0.138484 0.191275
6.93 0.576985 0.602648 1.12734 0.798007 0.148687 0.201993
6.948 0.597349 0.616913 1.13533 0.787031 0.159256 0.212969
6.966 0.617857 0.630979 1.14332 0.7758 0.170193 0.2242
6.984 0.638509 0.644841 1.15131 0.764317 0.1815 0.235683
7.002 0.6593 0.658493 1.15511 0.752587 0.19318 0.247413
7.02 0.679825 0.671932 1.12538 0.740613 0.205233 0.259387
7.038 0.699814 0.685154 1.09564 0.728399 0.21765 0.271601
7.056 0.719267 0.698153 1.0659 0.715948 0.230423 0.284052
7.074 0.738186 0.710926 1.03616 0.703266 0.243541 0.296734
7.092 0.756569 0.723469 1.00642 0.690356 0.256994 0.309644
7.11 0.774417 0.735778 0.976687 0.677223 0.270774 0.322777
7.128 0.79173 0.747848 0.94695 0.66387 0.28487 0.33613
7.146 0.808508 0.759676 0.917212 0.650302 0.299273 0.349698
7.164 0.82475 0.771258 0.887474 0.636523 0.313973 0.363477
7.182 0.840457 0.78259 0.857737 0.622538 0.328961 0.377462
7.2 0.855628 0.793668 0.827999 0.608351 0.344226 0.391649
7.218 0.870265 0.804489 0.798261 0.593968 0.35976 0.406032
7.236 0.884366 0.81505 0.768524 0.579391 0.375553 0.420609
7.254 0.897931 0.825346 0.738786 0.564627 0.391594 0.435373
7.272 0.910962 0.835375 0.709048 0.54968 0.407875 0.45032
7.29 0.923457 0.845133 0.679311 0.534555 0.424386 0.465445
7.308 0.935417 0.854618 0.649573 0.519257 0.441116 0.480743
7.326 0.946842 0.863826 0.619836 0.503791 0.458057 0.496209
7.344 0.957731 0.872753 0.590098 0.488161 0.475199 0.511839
7.362 0.968085 0.881399 0.56036 0.472373 0.492532 0.527627
7.38 0.977904 0.889758 0.530623 0.456433 0.510047 0.543567
7.398 0.987188 0.897829 0.500885 0.440344 0.527734 0.559656
7.416 0.995936 0.90561 0.471147 0.424112 0.545583 0.575888
7.434 1.00415 0.913096 0.44141 0.407744 0.563584 0.592256
7.452 1.01183 0.920288 0.411672 0.391243 0.581729 0.608757
7.47 1.01897 0.92718 0.381934 0.374615 0.600007 0.625385
7.488 1.02558 0.933773 0.352197 0.357866 0.618409 0.642134
7.506 1.03165 0.940063 0.322459 0.341001 0.636924 0.658999
7.524 1.03718 0.946048 0.292721 0.324026 0.655545 0.675974
7.542 1.04219 0.951727 0.262984 0.306945 0.67426 0.693055
7.56 1.04665 0.957098 0.233246 0.289765 0.69306 0.710235
7.578 1.05058 0.962158 0.203509 0.272492 0.711936 0.727508
7.596 1.05398 0.966907 0.173771 0.25513 0.730878 0.74487
7.614 1.05684 0.971342 0.144033 0.237685 0.749876 0.762315
7.632 1.05916 0.975463 0.114296 0.220163 0.768921 0.779837
7.65 1.06095 0.979268 0.084558 0.20257 0.788003 0.79743
7.668 1.06221 0.982755 0.0548203 0.184911 0.807112 0.815089
7.686 1.06293 0.985924 0.0250827 0.167193 0.826239 0.832807
7.704 1.06311 0.988774 -0.00465494 0.14942 0.845374 0.85058
7.722 1.06276 0.991303 -0.0343926 0.131599 0.864508 0.868401
7.74 1.06187 0.993511 -0.0641302 0.113735 0.88363 0.886265
7.758 1.06045 0.995397 -0.0938679 0.0958343 0.902732 0.904166
7.776 1.05849 0.996961 -0.123605 0.0779026 0.921803 0.922097
7.794 1.056 0.998202 -0.153343 0.0599457 0.940835 0.940054
7.812 1.05297 0.999119 -0.183081 0.0419693 0.959816 0.958031
7.83 1.04941 0.999712 -0.212818 0.0239793 0.978738 0.976021
7.848 1.04531 0.999982 -0.242556 0.0059816 0.997592 0.994018
7.866 1.04068 0.999928 -0.272294 -0.0120181 1.01637 1.01202
7.884 1.03551 0.999549 -0.302031 -0.0300139 1.03505 1.03001
7.902 1.0298 0.998847 -0.331769 -0.0479999 1.05364 1.048
7.92 1.02357 0.997822 -0.361507 -0.0659704 1.07212 1.06597
7.938 1.01679 0.996473 -0.391244 -0.0839196 1.09049 1.08392
7.956 1.00948 0.994801 -0.420982 -0.101841 1.10872 1.10184
7.974 1.00164 0.992806 -0.45072 -0.11973 1.12682 1.11973
7.992 0.993255 0.990491 -0.480457 -0.137581 1.14478 1.13758
8.01 0.984413 0.987854 -0.495345 -0.155386 1.16258 1.15539
8.028 0.97547 0.984897 -0.498354 -0.173141 1.18022 1.17314
8.046 0.966472 0.981621 -0.501362 -0.190841 1.1977 1.19084
8.064 0.957421 0.978027 -0.50437 -0.208478 1.21501 1.20848
8.082 0.948315 0.974116 -0.507379 -0.226048 1.23216 1.22605
8.1 0.939155 0.96989 -0.510387 -0.243544 1.24915 1.24354
8.118 0.929941 0.965349 -0.513395 -0.260962 1.26597 1.26096
8.136 0.920673 0.960496 -0.516404 -0.278295 1.28263 1.27829
8.154 0.911351 0.955331 -0.519412 -0.295538 1.29912 1.29554
8.172 0.901974 0.949857 -0.522421 -0.312685 1.31544 1.31268
8.19 0.892543 0.944075 -0.525429 -0.329731 1.33159 1.32973
8.208 0.883059 0.937987 -0.528437 -0.34667 1.34757 1.34667
8.226 0.87352 0.931596 -0.531446 -0.363496 1.36338 1.3635
8.244 0.863927 0.924902 -0.534454 -0.380205 1.37901 1.38021
8.262 0.854279 0.917909 -0.537462 -0.396791 1.39448 1.39679
8.28 0.844578 0.910618 -0.540471 -0.413248 1.40977 1.41325
8.298 0.834822 0.903033 -0.543479 -0.429572 1.42488 1.42957
8.316 0.825013 0.895155 -0.546488 -0.445756 1.43982 1.44576
8.334 0.815149 0.886986 -0.549496 -0.461795 1.45458 1.4618
8.352 0.805231 0.878531 -0.552504 -0.477686 1.46917 1.47769
8.37 0.795259 0.869791 -0.555513 -0.493421 1.48357 1.49342
8.388 0.785232 0.860769 -0.558521 -0.508996 1.49779 1.509
8.406 0.775152 0.851468 -0.561529 -0.524407 1.51184 1.52441
8.424 0.765017 0.841891 -0.564538 -0.539648 1.5257 1.53965
8.442 0.754829 0.832042 -0.567546 -0.554713 1.53938 1.55471
8.46 0.744586 0.821922 -0.570554 -0.569599 1.55287 1.5696
8.478 0.734289 0.811537 -0.573563 -0.584301 1.56618 1.5843
8.496 0.723937 0.800889 -0.576571 -0.598813 1.57931 1.59881
8.514 0.713532 0.789981 -0.57958 -0.613131 1.59224 1.61313
8.532 0.703073 0.778817 -0.582588 -0.627251 1.60499 1.62725
8.55 0.692559 0.767401 -0.585596 -0.641167 1.61755 1.64117
8.568 0.681991 0.755736 -0.588605 -0.654876 1.62993 1.65488
8.586 0.671369 0.743827 -0.591613 -0.668372 1.64211 1.66837
8.604 0.660693 0.731676 -0.594621 -0.681652 1.65409 1.68165
8.622 0.649963 0.719289 -0.59763 -0.694711 1.66589 1.69471
8.64 0.639178 0.706668 -0.600638 -0.707545 1.67749 1.70755
8.658 0.62834 0.693818 -0.603647 -0.72015 1.6889 1.72015
8.676 0.617447 0.680744 -0.606655 -0.732521 1.70011 1.73252
8.694 0.6065 0.667449 -0.609663 -0.744655 1.71113 1.74466
8.712 0.595499 0.653938 -0.612672 -0.756548 1.72195 1.75655
8.73 0.584444 0.640215 -0.61568 -0.768196 1.73257 1.7682
8.748 0.573335 0.626284 -0.618688 -0.779595 1.74299 1.77959
8.766 0.562171 0.612151 -0.621697 -0.790741 1.75321 1.79074
8.784 0.550954 0.597819 -0.624705 -0.801631 1.76322 1.80163
8.802 0.539682 0.583294 -0.627714 -0.812261 1.77304 1.81226
8.82 0.528356 0.568579 -0.630722 -0.822628 1.78265 1.82263
8.838 0.516976 0.553681 -0.63373 -0.832729 1.79206 1.83273
8.856 0.505542 0.538603 -0.636739 -0.84256 1.80126 1.84256
8.874 0.494053 0.52335 -0.639747 -0.852118 1.81026 1.85212
8.892 0.482511 0.507928 -0.642755 -0.861399 1.81905 1.8614
8.91 0.470914 0.492342 -0.645764 -0.870402 1.82763 1.8704
8.928 0.459263 0.476595 -0.648772 -0.879123 1.836 1.87912
8.946 0.447558 0.460695 -0.651781 -0.887559 1.84416 1.88756
8.964 0.435799 0.444645 -0.654789 -0.895707 1.85211 1.89571
8.982 0.423986 0.428451 -0.657797 -0.903565 1.85985 1.90356
9 0.412118 0.412118 -0.660806 -0.91113 1.86738 1.91113
