# z   linterp(z)   cos(z)   linterp_integ(z)   sin(z)
2.304 -0.590596 -0.669254 0.679204 0.743034
2.322 -0.600925 -0.682519 0.66848 0.730868
2.34 -0.611254 -0.695563 0.657571 0.718465
2.358 -0.621584 -0.708382 0.646475 0.705829
2.376 -0.631913 -0.720972 0.635194 0.692964
2.394 -0.642242 -0.733328 0.623726 0.679875
2.412 -0.652571 -0.745446 0.612073 0.666566
2.43 -0.6629 -0.757323 0.600234 0.653041
2.448 -0.67323 -0.768954 0.588209 0.639304
2.466 -0.683559 -0.780336 0.575997 0.62536
2.484 -0.693888 -0.791466 0.5636 0.611213
2.502 -0.704217 -0.802339 0.551017 0.596869
2.52 -0.714547 -0.812952 0.538249 0.582331
2.538 -0.724876 -0.823302 0.525294 0.567604
2.556 -0.735205 -0.833385 0.512153 0.552693
2.574 -0.745534 -0.843198 0.498826 0.537604
2.592 -0.755863 -0.852737 0.485314 0.52234
2.61 -0.766193 -0.862001 0.471615 0.506907
2.628 -0.776522 -0.870985 0.457731 0.49131
2.646 -0.786851 -0.879687 0.443661 0.475553
2.664 -0.79718 -0.888104 0.429404 0.459643
2.682 -0.80751 -0.896233 0.414962 0.443583
2.7 -0.817839 -0.904072 0.400334 0.42738
2.718 -0.828168 -0.911618 0.38552 0.411038
2.736 -0.838497 -0.918869 0.37052 0.394563
2.754 -0.848826 -0.925822 0.355334 0.377961
2.772 -0.859156 -0.932475 0.339962 0.361236
2.79 -0.869485 -0.938825 0.324404 0.344393
2.808 -0.879814 -0.944872 0.308661 0.32744
2.826 -0.890143 -0.950613 0.292731 0.31038
2.844 -0.900473 -0.956045 0.276615 0.29322
2.862 -0.910802 -0.961168 0.260314 0.275964
2.88 -0.921131 -0.965979 0.243827 0.258619
2.898 -0.93146 -0.970478 0.227153 0.241191
2.916 -0.941789 -0.974662 0.210294 0.223684
2.934 -0.952119 -0.97853 0.193249 0.206105
2.952 -0.962448 -0.982081 0.176018 0.188459
2.97 -0.972777 -0.985314 0.158601 0.170752
2.988 -0.983106 -0.988228 0.140998 0.152989
3.006 -0.987974 -0.990821 0.123225 0.135178
3.024 -0.98192 -0.993094 0.105496 0.117322
3.042 -0.975866 -0.995045 0.0878762 0.0994281
3.06 -0.969812 -0.996673 0.0703651 0.0815022
3.078 -0.963757 -0.997979 0.052963 0.0635498
3.096 -0.957703 -0.998961 0.0356698 0.0455769
3.114 -0.951649 -0.999619 0.0184857 0.0275892
3.132 -0.945594 -0.999954 0.00141048 0.00959251
3.15 -0.93954 -0.999965 -0.0155557 -0.00840725
3.168 -0.933486 -0.999651 -0.032413 -0.0264043
3.186 -0.927432 -0.999014 -0.0491612 -0.0443928
3.204 -0.921377 -0.998053 -0.0658005 -0.0623668
3.222 -0.915323 -0.996769 -0.0823308 -0.0803207
3.24 -0.909269 -0.995162 -0.0987521 -0.0982486
