# method problem N value exact actual_error estimated_error
plain unit_circle_area 150000 3.1434666666666669 3.1415926535897931 0.0018740130768737373 0.0042367314305741411
plain gaussian_2d 150000 0.55827875376823255 0.55774628535103354 0.00053246841719900573 0.00055884999907893508
