# N actual_plain actual_stratified estimated_plain estimated_stratified calls_plain calls_stratified exact
200 0.0048438295473944848 0.027275766747866137 0.015584007311635239 0.024680646993838613 200 200 0.55774628535103354
500 0.011961017065589385 0.0036368924234739808 0.0099460062042247954 0.011768012597081538 500 500 0.55774628535103354
1000 0.0039288190573458781 0.047742863826467086 0.0069130551755662009 0.014797082978376131 1000 1000 0.55774628535103354
2000 0.0044777576340803149 0.0033034101293694107 0.0048498974672024535 0.005639902393796253 2000 2000 0.55774628535103354
5000 0.00027793564231215484 0.0058974160286683341 0.0030376126779607607 0.0043718198389984539 5000 5000 0.55774628535103354
10000 0.0010935634023170326 0.014799585901818846 0.0021653796833264586 0.0031562143929687952 10000 10000 0.55774628535103354
20000 0.00015655140667436562 0.00086716813379361657 0.0015267162201297341 0.0022251755616885536 20000 20000 0.55774628535103354
50000 0.00071921092344351401 0.00080906850358142268 0.00096833223417818707 0.0016054121741742519 50000 50000 0.55774628535103354
