# N estimated_error actual_error value exact estimated_error_sqrtN actual_error_sqrtN
200 0.01616810070905135 0.0028226033413709661 0.56056888869240451 0.55774628535103354 0.22865147300554475 0.039917639265664356
500 0.0096363633086529957 0.011625427617960926 0.56937171296899447 0.55774628535103354 0.21547563414032886 0.2599524642126409
1000 0.0066612300025215929 6.4543322706778206e-05 0.55781082867374032 0.55774628535103354 0.21064658826217389 0.0020410390750868319
2000 0.0048826274829629748 0.0079550629094469194 0.54979122244158662 0.55774628535103354 0.21835773921427817 0.35576122861621134
5000 0.0030622761083219799 0.005508382617664509 0.55223790273336903 0.55774628535103354 0.21653562020600226 0.38950147023206799
10000 0.0021654549743844536 0.00288698889180794 0.56063327424284148 0.55774628535103354 0.21654549743844537 0.288698889180794
20000 0.0015268823472220786 0.0020605268662222676 0.55568575848481128 0.55774628535103354 0.21593377235895289 0.2914025039845663
50000 0.00096406956278317782 4.7879383582527524e-05 0.55769840596745102 0.55774628535103354 0.21557250774216868 0.010706155641131896
