# N value_plain value_quasi value_stratified actual_plain actual_quasi actual_stratified exact
1000 1.4146790007971943 2.3512200337220333 1.329261720403961 0.021475071111517474 0.9580161040363564 0.0639422092817159 1.3932039296856769
3000 1.3524102233956288 1.6679828962311736 1.2816261751138933 0.040793706290048082 0.27477896654549672 0.11157775457178354 1.3932039296856769
10000 1.3618000410185427 1.4367004928576019 1.2083381648527993 0.031403888667134172 0.043496563171925073 0.18486576483287753 1.3932039296856769
30000 1.3770535871875893 1.398986592505175 1.3624654199493742 0.016150342498087555 0.00578266281949813 0.030738509736302655 1.3932039296856769
