# N actual_plain actual_quasi estimated_plain estimated_quasi value_plain value_quasi exact
200 0.014960698517063165 0.065973735981707748 0.015626705319781116 0.12235811122848794 0.54278558683397038 0.62372002133274129 0.55774628535103354
500 0.011165992210470099 0.036363471958078764 0.0097770938285146342 0.068895280168592588 0.56891227756150364 0.59410975730911231 0.55774628535103354
1000 0.0049852670653559583 0.022847393712692288 0.0067979707186125136 0.043320918963447252 0.5627315524163895 0.58059367906372583 0.55774628535103354
2000 0.0012405216314039791 0.015968755843537519 0.0048454190822610297 0.030873238956286242 0.55650576371962956 0.57371504119457106 0.55774628535103354
5000 0.00071389392946008545 0.0017668156244337041 0.0030451326181095894 0.0029251281871928159 0.55703239142157346 0.55951310097546725 0.55774628535103354
10000 0.0025486251435181684 0.0018533614495699346 0.0021578142248888134 0.0033337527877034256 0.55519766020751538 0.55959964680060348 0.55774628535103354
20000 0.0015082736843649025 0.00095274298802827673 0.0015344477739713523 0.0017639917378396985 0.55925455903539845 0.55869902833906182 0.55774628535103354
50000 0.0011933117808787808 0.00067032147915435658 0.00096613918804876176 0.0012631962643110395 0.55893959713191232 0.5584166068301879 0.55774628535103354
