# t   y_fit   y_upper   y_lower
13.92 13.2444 15.1591 11.5716
14 13.0649 14.9621 11.4082
14.08 12.8878 14.7677 11.2471
14.16 12.713 14.5759 11.0883
14.24 12.5407 14.3865 10.9317
14.32 12.3707 14.1996 10.7773
14.4 12.203 14.0151 10.6251
14.48 12.0375 13.833 10.4751
14.56 11.8743 13.6533 10.3272
14.64 11.7133 13.4759 10.1813
14.72 11.5545 13.3008 10.0375
14.8 11.3979 13.128 9.89579
14.88 11.2434 12.9575 9.75604
14.96 11.0909 12.7891 9.61827
15.04 10.9406 12.623 9.48244
15.12 10.7923 12.459 9.34853
15.2 10.6459 12.2971 9.21651
15.28 10.5016 12.1373 9.08636
15.36 10.3592 11.9796 8.95804
15.44 10.2188 11.824 8.83154
15.52 10.0803 11.6704 8.70682
15.6 9.94361 11.5187 8.58387
15.68 9.8088 11.3691 8.46265
15.76 9.67582 11.2214 8.34314
15.84 9.54464 11.0756 8.22532
15.92 9.41524 10.9317 8.10916
16 9.2876 10.7897 7.99465
