# t   ln(y)_fit   ln(y)_upper   ln(y)_lower
13.36 2.67913 2.81014 2.54811
13.44 2.66548 2.79706 2.53389
13.52 2.65183 2.78399 2.51967
13.6 2.63818 2.77091 2.50545
13.68 2.62453 2.75783 2.49122
13.76 2.61088 2.74475 2.477
13.84 2.59723 2.73168 2.46278
13.92 2.58358 2.7186 2.44856
14 2.56993 2.70552 2.43433
14.08 2.55628 2.69245 2.42011
14.16 2.54263 2.67937 2.40589
14.24 2.52898 2.66629 2.39167
14.32 2.51533 2.65321 2.37744
14.4 2.50168 2.64014 2.36322
14.48 2.48803 2.62706 2.349
14.56 2.47438 2.61398 2.33478
14.64 2.46073 2.6009 2.32055
14.72 2.44708 2.58783 2.30633
14.8 2.43343 2.57475 2.29211
14.88 2.41978 2.56167 2.27789
14.96 2.40613 2.54859 2.26366
15.04 2.39248 2.53552 2.24944
15.12 2.37883 2.52244 2.23522
15.2 2.36518 2.50936 2.221
15.28 2.35153 2.49628 2.20677
15.36 2.33788 2.48321 2.19255
15.44 2.32423 2.47013 2.17833
15.52 2.31058 2.45705 2.16411
15.6 2.29693 2.44397 2.14988
15.68 2.28328 2.4309 2.13566
15.76 2.26963 2.41782 2.12144
15.84 2.25598 2.40474 2.10722
15.92 2.24233 2.39167 2.09299
16 2.22868 2.37859 2.07877
