100 0.00
150 0.00
200 0.01
250 0.02
300 0.03
350 0.04
400 0.07
450 0.09
500 0.13
550 0.15
600 0.20
650 -3.88
700 0.34
750 0.42
800 0.54
850 0.62
900 0.73
950 0.85
1000 0.98
