# x J0_contour J0_ref J1_contour J1_ref J2_contour J2_ref
5.22 -0.103418 -0.103418 -0.344041 -0.344041 -0.0283989 -0.0283989
5.28 -0.0827198 -0.0827198 -0.345683 -0.345683 -0.0482208 -0.0482208
5.34 -0.0619598 -0.0619598 -0.346114 -0.346114 -0.0676709 -0.0676709
5.4 -0.0412101 -0.0412101 -0.345345 -0.345345 -0.0866954 -0.0866954
5.46 -0.0205422 -0.0205422 -0.34339 -0.34339 -0.105242 -0.105242
5.52 -2.65784e-05 -2.65784e-05 -0.34027 -0.34027 -0.12326 -0.12326
5.58 0.0202673 0.0202673 -0.336004 -0.336004 -0.140699 -0.140699
5.64 0.0402716 0.0402716 -0.330621 -0.330621 -0.157513 -0.157513
5.7 0.05992 0.05992 -0.324148 -0.324148 -0.173656 -0.173656
5.76 0.0791482 0.0791482 -0.316618 -0.316618 -0.189085 -0.189085
5.82 0.0978937 0.0978937 -0.308066 -0.308066 -0.203758 -0.203758
5.88 0.116096 0.116096 -0.298532 -0.298532 -0.217638 -0.217638
5.94 0.133699 0.133699 -0.288056 -0.288056 -0.230687 -0.230687
6 0.150645 0.150645 -0.276684 -0.276684 -0.242873 -0.242873
6.06 0.166884 0.166884 -0.264461 -0.264461 -0.254165 -0.254165
6.12 0.182365 0.182365 -0.251438 -0.251438 -0.264534 -0.264534
6.18 0.197041 0.197041 -0.237665 -0.237665 -0.273955 -0.273955
6.24 0.21087 0.21087 -0.223196 -0.223196 -0.282408 -0.282408
6.3 0.223812 0.223812 -0.208087 -0.208087 -0.289871 -0.289871
6.36 0.235829 0.235829 -0.192394 -0.192394 -0.296331 -0.296331
6.42 0.246889 0.246889 -0.176177 -0.176177 -0.301773 -0.301773
6.48 0.256961 0.256961 -0.159495 -0.159495 -0.306188 -0.306188
6.54 0.26602 0.26602 -0.142409 -0.142409 -0.30957 -0.30957
6.6 0.274043 0.274043 -0.12498 -0.12498 -0.311916 -0.311916
6.66 0.281012 0.281012 -0.107272 -0.107272 -0.313226 -0.313226
6.72 0.286912 0.286912 -0.0893469 -0.0893469 -0.313503 -0.313503
6.78 0.291731 0.291731 -0.0712681 -0.0712681 -0.312754 -0.312754
6.84 0.295462 0.295462 -0.0530989 -0.0530989 -0.310988 -0.310988
6.9 0.298102 0.298102 -0.0349021 -0.0349021 -0.308219 -0.308219
6.96 0.299651 0.299651 -0.0167404 -0.0167404 -0.304461 -0.304461
7.02 0.300113 0.300113 0.00132409 0.00132409 -0.299736 -0.299736
7.08 0.299495 0.299495 0.0192302 0.0192302 -0.294063 -0.294063
7.14 0.29781 0.29781 0.0369177 0.0369177 -0.287468 -0.287468
7.2 0.295071 0.295071 0.0543274 0.0543274 -0.27998 -0.27998
7.26 0.291297 0.291297 0.0714017 0.0714017 -0.271627 -0.271627
7.32 0.28651 0.28651 0.0880844 0.0880844 -0.262444 -0.262444
7.38 0.280736 0.280736 0.104321 0.104321 -0.252464 -0.252464
7.44 0.274002 0.274002 0.120059 0.120059 -0.241728 -0.241728
7.5 0.26634 0.26634 0.135248 0.135248 -0.230273 -0.230273
7.56 0.257784 0.257784 0.14984 0.14984 -0.218144 -0.218144
7.62 0.248372 0.248372 0.163789 0.163789 -0.205382 -0.205382
7.68 0.238143 0.238143 0.177052 0.177052 -0.192036 -0.192036
7.74 0.22714 0.22714 0.189587 0.189587 -0.178151 -0.178151
7.8 0.215408 0.215408 0.201357 0.201357 -0.163778 -0.163778
7.86 0.202993 0.202993 0.212327 0.212327 -0.148966 -0.148966
7.92 0.189945 0.189945 0.222464 0.222464 -0.133767 -0.133767
7.98 0.176315 0.176315 0.23174 0.23174 -0.118234 -0.118234
8.04 0.162154 0.162154 0.240129 0.240129 -0.102421 -0.102421
8.1 0.147517 0.147517 0.247608 0.247608 -0.0863797 -0.0863797
8.16 0.13246 0.13246 0.254157 0.254157 -0.0701664 -0.0701664
8.22 0.117038 0.117038 0.259761 0.259761 -0.0538355 -0.0538355
8.28 0.101308 0.101308 0.264406 0.264406 -0.0374416 -0.0374416
8.34 0.0853282 0.0853282 0.268083 0.268083 -0.0210398 -0.0210398
8.4 0.0691573 0.0691573 0.270786 0.270786 -0.00468434 -0.00468434
8.46 0.0528534 0.0528534 0.272513 0.272513 0.0115705 0.0115705
8.52 0.0364752 0.0364752 0.273264 0.273264 0.0276713 0.0276713
8.58 0.0200812 0.0200812 0.273043 0.273043 0.0435653 0.0435653
8.64 0.00372932 0.00372932 0.271858 0.271858 0.0592008 0.0592008
8.7 -0.0125227 -0.0125227 0.269719 0.269719 0.0745271 0.0745271
8.76 -0.0286182 -0.0286182 0.26664 0.26664 0.0894949 0.0894949
8.82 -0.0445011 -0.0445011 0.262638 0.262638 0.104056 0.104056
8.88 -0.0601167 -0.0601167 0.257734 0.257734 0.118165 0.118165
8.94 -0.0754116 -0.0754116 0.25195 0.25195 0.131776 0.131776
9 -0.0903336 -0.0903336 0.245312 0.245312 0.144847 0.144847
9.06 -0.104832 -0.104832 0.237849 0.237849 0.157338 0.157338
9.12 -0.11886 -0.11886 0.229592 0.229592 0.169209 0.169209
9.18 -0.132368 -0.132368 0.220577 0.220577 0.180424 0.180424
9.24 -0.145314 -0.145314 0.210837 0.210837 0.19095 0.19095
