20 0.0017 0.0009
25 0.0030 0.0018
30 0.0056 0.0040
35 0.0082 0.0050
40 0.0179 0.0133
45 0.0135 0.0080
50 0.0261 0.0108
55 0.0245 0.0149
60 0.0304 0.0195
65 0.0373 0.0231
70 0.0460 0.0292
75 0.0597 0.0365
80 0.0699 0.0447
